pmid,title,study_type,sample_date,region,country,location_name,amenity,street,city,county,state,postalcode,accession_numbers,retrieved_preview,source,location,latitude,longitude,geocode_query
41580634,Melioidosis with non-necrotising diffuse cellulitis and intramuscular abscesses of the trunk mimicking necrotising soft tissue infection: a case report.,Human cases,2026,East Asia & Pacific,Vietnam,"Vinmec International Hospital, Ho Chi Minh City",Hospital,unknown,Ho Chi Minh City,unknown,Ho Chi Minh City,unknown,[],"Melioidosis with non-necrotising diffuse cellulitis and intramuscular abscesses of the trunk mimicking necrotising soft tissue infection: a case report.

1. BMC Infect Dis. 2026 Jan 24. doi: 10.1186/s12879-026-12571-9. Online ahead of 
print.

Melioidosis with non-necrotising diffuse cellulitis and intramuscular abscesses 
of the trunk mimicking necrotising soft tissue infection: a case report.

Nguyen TP(1), Khong TT(2), Vu HTT(2), Nguyen NNP(2), Hoang PKN(2), Tran TD(3).

Author information:
(",PubMed,"[{'region': 'East Asia & Pacific', 'country': 'Vietnam', 'location': 'Vinmec International Hospital, Ho Chi Minh City', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'Ho Chi Minh City', 'county': 'unknown', 'state': 'Ho Chi Minh City', 'postalcode': 'unknown'}]",10.7793648,106.6922806,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
41551355,A case of osteoarticular melioidosis misdiagnosed as extra-pulmonary tuberculosis from low endemicity region in North-western India.,Human cases,2026,South Asia,India,"Vardhman Mahavir Medical College and Safdarjung Hospital, Delhi",Hospital,unknown,Delhi,unknown,Delhi,unknown,[],"Melioidosis is caused by a facultative intracellular gram-negative bacterium, Burkholderia pseudomallei.
[1] It is rapidly developing clinical infection particularly in patients with risk factors of diabetes mellitus, hazardous alcohol use, chronic renal disease, chronic pulmonary disease, immunosuppression and malignancy [2]. The most common mode of transmission is direct inoculation from contaminated soil or water through skin abrasions. Inhalation and ingestion are other known modes of transm",PMC,"[{'region': 'South Asia', 'country': 'India', 'location': 'Vardhman Mahavir Medical College and Safdarjung Hospital, Delhi', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'Delhi', 'county': 'unknown', 'state': 'Delhi', 'postalcode': 'unknown'}, {'region': 'South Asia', 'country': 'India', 'location': 'Kota', 'amenity': 'unknown', 'street': 'unknown', 'city': 'Kota', 'county': 'unknown', 'state': 'Rajasthan', 'postalcode': 'unknown'}]",28.6138954,77.2090057,"Delhi, Delhi, India"
41551355,A case of osteoarticular melioidosis misdiagnosed as extra-pulmonary tuberculosis from low endemicity region in North-western India.,Human cases,2026,South Asia,India,Kota,unknown,unknown,Kota,unknown,Rajasthan,unknown,[],"Melioidosis is caused by a facultative intracellular gram-negative bacterium, Burkholderia pseudomallei.
[1] It is rapidly developing clinical infection particularly in patients with risk factors of diabetes mellitus, hazardous alcohol use, chronic renal disease, chronic pulmonary disease, immunosuppression and malignancy [2]. The most common mode of transmission is direct inoculation from contaminated soil or water through skin abrasions. Inhalation and ingestion are other known modes of transm",PMC,"[{'region': 'South Asia', 'country': 'India', 'location': 'Vardhman Mahavir Medical College and Safdarjung Hospital, Delhi', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'Delhi', 'county': 'unknown', 'state': 'Delhi', 'postalcode': 'unknown'}, {'region': 'South Asia', 'country': 'India', 'location': 'Kota', 'amenity': 'unknown', 'street': 'unknown', 'city': 'Kota', 'county': 'unknown', 'state': 'Rajasthan', 'postalcode': 'unknown'}]",28.6138954,77.2090057,"Delhi, Delhi, India"
41541474,The Hidden Threat: Polyarticular Septic Arthritis Unmasking Disseminated Melioidosis.,Human cases,2021,South Asia,India,unknown,Hospital,unknown,unknown,unknown,unknown,unknown,[],"Polyarticular septic arthritis with an atypical course should prompt evaluation for melioidosis, as early recognition and targeted antimicrobial therapy are essential to prevent dissemination and relapse.

Septic arthritis is a common orthopedic emergency which causes significant mortality and morbidity. It is noted to have a case fatality rate of 5–15% and irreversible joint damage in 25–50% patients afflicted [1]. Staphylococcus and Streptococcus species are the most common causative organism;",PMC,"[{'region': 'South Asia', 'country': 'India', 'location': 'unknown', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'unknown', 'postalcode': 'unknown'}]",22.3511148,78.6677428,India
41531597,A Rare Case of Melioidosis Breast Abscess in Far North Queensland.,Human cases,2019,East Asia & Pacific,Australia,Far North Queensland,Hospital,unknown,unknown,unknown,Queensland,unknown,[],"Melioidosis is a rare tropical infection caused by the Gram-negative bacterial organism Burkholderia pseudomallei, which often resides in soil, water, and plants [1,2]. During January 1998-December 2019, the annual incidence of melioidosis in Far North Queensland, Queensland, Australia, more than doubled [3]. Patients with melioidosis have varying presentations, including pneumonia, skin infections, and intra-abdominal organ abscesses, all of which can lead to septicemia [4,5]. We present a 67-y",PMC,"[{'region': 'East Asia & Pacific', 'country': 'Australia', 'location': 'Far North Queensland', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'Queensland', 'postalcode': 'unknown'}]",-22.1646782,144.5844903,"Queensland, Australia"
41502997,Acute and Chronic Presentation of Melioidosis: (18) F-FDG PET/CT Case Series.,Human cases,2025,South Asia,India,unknown,Hospital,unknown,unknown,unknown,unknown,unknown,[],"Melioidosis is an infectious disease that is caused by a gram-negative bacillus,
Burkholderia pseudomallei
, which is highly endemic in South and Southeast Asia, as well as in northern Australia, due to its widespread distribution across tropical regions. Infection is caused by inoculation, inhalation, and ingestion,
1
leading to bacteremia, which is followed by the formation of abscesses in the lungs, liver, and spleen. Because of its multi-systemic involvement and range of clinical symptoms, f",PMC,"[{'region': 'South Asia', 'country': 'India', 'location': 'unknown', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'unknown', 'postalcode': 'unknown'}, {'region': 'East Asia & Pacific', 'country': 'Australia', 'location': 'tropical Australia', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'unknown', 'postalcode': 'unknown'}]",22.3511148,78.6677428,India
41502997,Acute and Chronic Presentation of Melioidosis: (18) F-FDG PET/CT Case Series.,Human cases,2025,East Asia & Pacific,Australia,tropical Australia,Hospital,unknown,unknown,unknown,unknown,unknown,[],"Melioidosis is an infectious disease that is caused by a gram-negative bacillus,
Burkholderia pseudomallei
, which is highly endemic in South and Southeast Asia, as well as in northern Australia, due to its widespread distribution across tropical regions. Infection is caused by inoculation, inhalation, and ingestion,
1
leading to bacteremia, which is followed by the formation of abscesses in the lungs, liver, and spleen. Because of its multi-systemic involvement and range of clinical symptoms, f",PMC,"[{'region': 'South Asia', 'country': 'India', 'location': 'unknown', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'unknown', 'postalcode': 'unknown'}, {'region': 'East Asia & Pacific', 'country': 'Australia', 'location': 'tropical Australia', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'unknown', 'postalcode': 'unknown'}]",22.3511148,78.6677428,India
41502997,Acute and Chronic Presentation of Melioidosis: (18) F-FDG PET/CT Case Series.,Human cases,2025,South Asia,India,unknown,Hospital,unknown,unknown,unknown,unknown,unknown,[],"Melioidosis is an infectious disease that is caused by a gram-negative bacillus,
Burkholderia pseudomallei
, which is highly endemic in South and Southeast Asia, as well as in northern Australia, due to its widespread distribution across tropical regions. Infection is caused by inoculation, inhalation, and ingestion,
1
leading to bacteremia, which is followed by the formation of abscesses in the lungs, liver, and spleen. Because of its multi-systemic involvement and range of clinical symptoms, f",PMC,"[{'region': 'South Asia', 'country': 'India', 'location': 'unknown', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'unknown', 'postalcode': 'unknown'}, {'region': 'East Asia & Pacific', 'country': 'Australia', 'location': 'tropical Australia', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'unknown', 'postalcode': 'unknown'}]",-24.7761086,134.755,Australia
41502997,Acute and Chronic Presentation of Melioidosis: (18) F-FDG PET/CT Case Series.,Human cases,2025,East Asia & Pacific,Australia,tropical Australia,Hospital,unknown,unknown,unknown,unknown,unknown,[],"Melioidosis is an infectious disease that is caused by a gram-negative bacillus,
Burkholderia pseudomallei
, which is highly endemic in South and Southeast Asia, as well as in northern Australia, due to its widespread distribution across tropical regions. Infection is caused by inoculation, inhalation, and ingestion,
1
leading to bacteremia, which is followed by the formation of abscesses in the lungs, liver, and spleen. Because of its multi-systemic involvement and range of clinical symptoms, f",PMC,"[{'region': 'South Asia', 'country': 'India', 'location': 'unknown', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'unknown', 'postalcode': 'unknown'}, {'region': 'East Asia & Pacific', 'country': 'Australia', 'location': 'tropical Australia', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'unknown', 'postalcode': 'unknown'}]",-24.7761086,134.755,Australia
41497209,Mortality among hospitalized children with melioidosis in Thailand: a retrospective national database analysis (2015-2023).,Human cases,2015,Southeast Asia,Thailand,Thailand,Hospital,unknown,unknown,unknown,Northeast Thailand,unknown,[],"Research in contextEvidence before this studyWe searched PubMed using combinations of the terms melioidosis OR Burkholderia pseudomallei AND (pediatric OR child OR children) AND (Thailand OR Thai) AND (mortality OR outcome OR epidemiology), and screened reference lists of key reviews; we included English and Thai studies reporting human data and prioritized peer-reviewed literature. Prior work establishes the global scale of melioidosis (≈165,000 cases and 89,000 deaths annually) and highlights ",PMC,"[{'region': 'Southeast Asia', 'country': 'Thailand', 'location': 'Thailand', 'amenity': 'Hospital', 'street': 'unknown', 'city': 'unknown', 'county': 'unknown', 'state': 'Northeast Thailand', 'postalcode': 'unknown'}]",16.8330688,102.8434926,"Northeast Thailand, Thailand"
